id,sumber,kelompok,nama_kelompok,kategori,sepakat_3_algoritma,jarak_ke_pusat
147,latih,15,PCB dan tumpukan campuran,komponen,0,0.6615
148,latih,15,PCB dan tumpukan campuran,komponen,1,0.5215
149,latih,3,TV/monitor CRT,layar,1,0.5092
150,latih,9,Laptop,layar,1,0.4637
151,latih,15,PCB dan tumpukan campuran,komponen,0,0.5941
152,latih,8,Mesin cuci front-load,besar,1,0.5238
153,latih,15,PCB dan tumpukan campuran,komponen,0,0.9034
154,latih,9,Laptop,layar,1,0.8253
155,latih,9,Laptop,layar,1,0.7805
156,latih,9,Laptop,layar,1,0.7271
157,latih,9,Laptop,layar,1,0.7249
158,latih,9,Laptop,layar,1,0.4836
159,latih,9,Laptop,layar,1,0.6467
160,latih,9,Laptop,layar,1,0.4594
161,latih,9,Laptop,layar,1,0.3954
162,latih,9,Laptop,layar,1,0.471
163,latih,9,Laptop,layar,1,0.3996
164,latih,15,PCB dan tumpukan campuran,komponen,0,0.9478
165,latih,15,PCB dan tumpukan campuran,komponen,1,0.6704
166,latih,15,PCB dan tumpukan campuran,komponen,0,0.8309
167,latih,15,PCB dan tumpukan campuran,komponen,0,1.0083
168,latih,9,Laptop,layar,1,0.7921
169,latih,15,PCB dan tumpukan campuran,komponen,0,0.9511
170,latih,9,Laptop,layar,1,0.5847
171,latih,7,TV/monitor layar datar,layar,0,0.7224
172,latih,15,PCB dan tumpukan campuran,komponen,0,0.835
173,latih,15,PCB dan tumpukan campuran,komponen,1,0.6061
174,latih,15,PCB dan tumpukan campuran,komponen,0,0.56
175,latih,15,PCB dan tumpukan campuran,komponen,0,0.9283
176,latih,10,Keyboard,ti,1,0.5075
177,latih,15,PCB dan tumpukan campuran,komponen,0,0.7882
178,latih,15,PCB dan tumpukan campuran,komponen,0,0.9816
179,latih,15,PCB dan tumpukan campuran,komponen,1,0.6723
180,latih,9,Laptop,layar,1,0.7551
181,latih,15,PCB dan tumpukan campuran,komponen,1,0.603
182,latih,15,PCB dan tumpukan campuran,komponen,0,0.8524
183,latih,15,PCB dan tumpukan campuran,komponen,0,0.9122
184,latih,15,PCB dan tumpukan campuran,komponen,1,0.8268
185,latih,15,PCB dan tumpukan campuran,komponen,0,0.9627
186,latih,3,TV/monitor CRT,layar,1,0.4798
187,latih,9,Laptop,layar,1,0.7511
188,latih,15,PCB dan tumpukan campuran,komponen,0,0.8855
189,latih,9,Laptop,layar,1,0.4962
190,latih,9,Laptop,layar,1,0.6119
191,latih,9,Laptop,layar,1,0.5876
192,latih,9,Laptop,layar,1,0.5575
193,latih,9,Laptop,layar,1,0.8226
194,latih,9,Laptop,layar,1,0.5297
195,latih,9,Laptop,layar,1,0.6895
196,latih,9,Laptop,layar,1,0.589
197,latih,9,Laptop,layar,1,0.5275
198,latih,9,Laptop,layar,1,0.7612
199,latih,15,PCB dan tumpukan campuran,komponen,0,0.6491
200,latih,15,PCB dan tumpukan campuran,komponen,0,0.8055
201,latih,15,PCB dan tumpukan campuran,komponen,0,0.9902
202,latih,15,PCB dan tumpukan campuran,komponen,1,0.7229
203,latih,15,PCB dan tumpukan campuran,komponen,0,0.9037
204,latih,15,PCB dan tumpukan campuran,komponen,1,0.8313
205,latih,3,TV/monitor CRT,layar,0,0.8951
206,latih,15,PCB dan tumpukan campuran,komponen,1,0.5375
207,latih,15,PCB dan tumpukan campuran,komponen,1,0.5422
208,latih,15,PCB dan tumpukan campuran,komponen,0,0.8457
209,latih,7,TV/monitor layar datar,layar,0,0.7015
210,latih,5,Pemutar CD/radio,kecil,1,0.8525
211,latih,15,PCB dan tumpukan campuran,komponen,0,0.5471
212,latih,10,Keyboard,ti,1,0.5614
213,latih,15,PCB dan tumpukan campuran,komponen,0,0.9415
214,latih,3,TV/monitor CRT,layar,1,0.5809
215,latih,15,PCB dan tumpukan campuran,komponen,0,0.9684
216,latih,3,TV/monitor CRT,layar,1,0.4294
217,latih,15,PCB dan tumpukan campuran,komponen,1,0.6691
218,latih,9,Laptop,layar,1,0.7029
219,latih,15,PCB dan tumpukan campuran,komponen,0,0.8176
220,latih,10,Keyboard,ti,1,0.47
221,latih,9,Laptop,layar,0,0.8858
222,latih,9,Laptop,layar,0,0.9536
223,latih,3,TV/monitor CRT,layar,1,0.4064
224,latih,9,Laptop,layar,1,0.7263
225,latih,9,Laptop,layar,1,0.4314
226,latih,9,Laptop,layar,1,0.4061
227,latih,9,Laptop,layar,1,0.4028
228,latih,9,Laptop,layar,1,0.5839
229,latih,9,Laptop,layar,1,0.446
230,latih,9,Laptop,layar,1,0.4695
231,latih,9,Laptop,layar,1,0.427
232,latih,9,Laptop,layar,1,0.4522
233,latih,9,Laptop,layar,1,0.5533
234,latih,15,PCB dan tumpukan campuran,komponen,1,0.843
235,latih,15,PCB dan tumpukan campuran,komponen,0,0.8266
236,latih,15,PCB dan tumpukan campuran,komponen,1,0.6532
237,latih,15,PCB dan tumpukan campuran,komponen,1,0.7896
238,latih,10,Keyboard,ti,1,0.5073
239,latih,15,PCB dan tumpukan campuran,komponen,0,0.873
240,latih,9,Laptop,layar,1,0.6133
241,latih,9,Laptop,layar,1,0.7931
242,latih,15,PCB dan tumpukan campuran,komponen,1,0.5585
243,latih,9,Laptop,layar,0,0.8714
244,latih,15,PCB dan tumpukan campuran,komponen,0,0.8818
245,latih,15,PCB dan tumpukan campuran,komponen,0,0.8404
246,latih,9,Laptop,layar,1,0.5239
247,latih,9,Laptop,layar,1,0.6681
248,latih,9,Laptop,layar,1,0.418
249,latih,9,Laptop,layar,1,0.4595
250,latih,9,Laptop,layar,1,0.4406
251,latih,9,Laptop,layar,1,0.4657
252,latih,9,Laptop,layar,1,0.4812
253,latih,9,Laptop,layar,1,0.7161
254,latih,9,Laptop,layar,1,0.5692
255,latih,9,Laptop,layar,1,0.4432
256,latih,9,Laptop,layar,1,0.5531
257,latih,15,PCB dan tumpukan campuran,komponen,0,0.9167
258,latih,15,PCB dan tumpukan campuran,komponen,1,0.7507
259,latih,3,TV/monitor CRT,layar,1,0.6808
260,latih,3,TV/monitor CRT,layar,0,0.7883
261,latih,3,TV/monitor CRT,layar,0,0.8733
262,latih,15,PCB dan tumpukan campuran,komponen,1,0.6028
263,latih,15,PCB dan tumpukan campuran,komponen,0,0.9192
264,latih,15,PCB dan tumpukan campuran,komponen,0,0.9386
265,latih,3,TV/monitor CRT,layar,0,0.7662
266,latih,15,PCB dan tumpukan campuran,komponen,0,0.8674
267,latih,3,TV/monitor CRT,layar,1,0.4966
268,latih,7,TV/monitor layar datar,layar,0,0.6874
269,latih,15,PCB dan tumpukan campuran,komponen,1,0.5575
270,latih,15,PCB dan tumpukan campuran,komponen,0,0.9229
271,latih,15,PCB dan tumpukan campuran,komponen,1,0.5117
272,latih,10,Keyboard,ti,1,0.447
273,latih,7,TV/monitor layar datar,layar,0,0.8022
274,latih,15,PCB dan tumpukan campuran,komponen,0,0.9297
275,latih,3,TV/monitor CRT,layar,0,0.7578
276,latih,0,Aki (baterai timbal-asam),baterai,1,0.9793
277,latih,14,Ponsel,ti,1,0.6813
278,latih,3,TV/monitor CRT,layar,0,0.5322
279,latih,15,PCB dan tumpukan campuran,komponen,0,0.7214
280,latih,15,PCB dan tumpukan campuran,komponen,0,0.6873
281,latih,15,PCB dan tumpukan campuran,komponen,1,0.4856
282,latih,15,PCB dan tumpukan campuran,komponen,1,0.7512
283,latih,15,PCB dan tumpukan campuran,komponen,0,0.9815
284,latih,10,Keyboard,ti,1,0.4877
285,latih,15,PCB dan tumpukan campuran,komponen,1,0.6596
286,latih,15,PCB dan tumpukan campuran,komponen,0,0.8428
287,latih,3,TV/monitor CRT,layar,0,0.8034
288,latih,9,Laptop,layar,1,0.493
289,latih,9,Laptop,layar,1,0.4323
290,latih,9,Laptop,layar,1,0.5588
291,latih,9,Laptop,layar,1,0.5467
292,latih,9,Laptop,layar,1,0.5982
293,latih,9,Laptop,layar,1,0.6099
294,latih,9,Laptop,layar,1,0.633
295,latih,9,Laptop,layar,1,0.4809
296,latih,9,Laptop,layar,1,0.5057
297,latih,7,TV/monitor layar datar,layar,0,0.9239
298,latih,15,PCB dan tumpukan campuran,komponen,1,0.483
299,latih,10,Keyboard,ti,0,0.7701
300,latih,15,PCB dan tumpukan campuran,komponen,1,0.6907
301,latih,9,Laptop,layar,1,0.8902
302,latih,9,Laptop,layar,1,0.4719
303,latih,9,Laptop,layar,1,0.7487
304,latih,9,Laptop,layar,1,0.3873
305,latih,9,Laptop,layar,1,0.5121
306,latih,9,Laptop,layar,1,0.7037
307,latih,9,Laptop,layar,1,0.6768
308,latih,9,Laptop,layar,1,0.7107
309,latih,9,Laptop,layar,1,0.4017
310,latih,10,Keyboard,ti,0,0.6732
311,latih,3,TV/monitor CRT,layar,1,0.7835
312,latih,15,PCB dan tumpukan campuran,komponen,1,0.7942
313,latih,14,Ponsel,ti,1,0.6382
314,latih,15,PCB dan tumpukan campuran,komponen,0,0.8777
315,latih,5,Pemutar CD/radio,kecil,0,0.989
316,latih,15,PCB dan tumpukan campuran,komponen,0,0.91
317,latih,10,Keyboard,ti,1,0.5722
318,latih,9,Laptop,layar,1,0.8307
319,latih,3,TV/monitor CRT,layar,0,0.8747
320,latih,9,Laptop,layar,1,0.5255
321,latih,9,Laptop,layar,1,0.4898
322,latih,9,Laptop,layar,1,0.6884
323,latih,9,Laptop,layar,1,0.4691
324,latih,9,Laptop,layar,1,0.4548
325,latih,9,Laptop,layar,1,0.6234
326,latih,9,Laptop,layar,1,0.478
327,latih,9,Laptop,layar,1,0.4086
328,latih,9,Laptop,layar,1,0.5055
329,latih,3,TV/monitor CRT,layar,0,0.8512
330,latih,3,TV/monitor CRT,layar,1,0.5765
331,latih,15,PCB dan tumpukan campuran,komponen,1,0.6834
332,latih,15,PCB dan tumpukan campuran,komponen,0,0.9062
333,latih,8,Mesin cuci front-load,besar,0,0.777
334,latih,3,TV/monitor CRT,layar,0,0.8325
335,latih,15,PCB dan tumpukan campuran,komponen,0,0.9025
336,latih,10,Keyboard,ti,1,0.5127
337,latih,9,Laptop,layar,1,0.7054
338,latih,9,Laptop,layar,1,0.5764
339,latih,15,PCB dan tumpukan campuran,komponen,0,0.9254
340,latih,3,TV/monitor CRT,layar,0,0.7797
341,latih,9,Laptop,layar,0,0.8591
342,latih,15,PCB dan tumpukan campuran,komponen,1,0.6803
343,latih,9,Laptop,layar,1,0.6483
344,latih,9,Laptop,layar,1,0.3982
345,latih,9,Laptop,layar,1,0.621
346,latih,9,Laptop,layar,1,0.4236
347,latih,9,Laptop,layar,1,0.6703
348,latih,9,Laptop,layar,1,0.4713
349,latih,9,Laptop,layar,1,0.5455
350,latih,9,Laptop,layar,1,0.5903
351,latih,9,Laptop,layar,1,0.5716
352,latih,9,Laptop,layar,1,0.7224
353,latih,3,TV/monitor CRT,layar,0,0.6396
354,latih,15,PCB dan tumpukan campuran,komponen,1,0.7925
355,latih,3,TV/monitor CRT,layar,0,0.792
356,latih,9,Laptop,layar,1,0.781
357,latih,3,TV/monitor CRT,layar,0,0.8949
358,latih,15,PCB dan tumpukan campuran,komponen,0,0.9385
359,latih,10,Keyboard,ti,1,0.4991
360,latih,7,TV/monitor layar datar,layar,0,0.7909
361,latih,3,TV/monitor CRT,layar,0,0.5555
362,latih,9,Laptop,layar,1,0.6316
363,latih,9,Laptop,layar,1,0.6991
364,latih,9,Laptop,layar,1,0.3794
365,latih,9,Laptop,layar,1,0.4093
366,latih,9,Laptop,layar,1,0.6492
367,latih,9,Laptop,layar,1,0.6309
368,latih,9,Laptop,layar,1,0.7093
369,latih,9,Laptop,layar,1,0.4196
370,latih,9,Laptop,layar,1,0.5165
371,latih,9,Laptop,layar,1,0.525
372,latih,3,TV/monitor CRT,layar,1,0.4165
373,latih,1,Baterai pack laptop,baterai,0,0.4822
374,latih,3,TV/monitor CRT,layar,0,0.7955
375,latih,9,Laptop,layar,1,0.8809
376,latih,0,Aki (baterai timbal-asam),baterai,1,0.9076
377,latih,10,Keyboard,ti,1,0.5508
378,latih,9,Laptop,layar,1,0.6173
379,latih,9,Laptop,layar,1,0.6
380,latih,9,Laptop,layar,1,0.4114
381,latih,9,Laptop,layar,1,0.7551
382,latih,9,Laptop,layar,1,0.705
383,latih,9,Laptop,layar,1,0.5304
384,latih,9,Laptop,layar,1,0.545
385,latih,9,Laptop,layar,1,0.3986
386,latih,9,Laptop,layar,1,0.4931
387,latih,10,Keyboard,ti,1,0.5517
388,latih,10,Keyboard,ti,1,0.5151
389,latih,10,Keyboard,ti,1,0.4901
390,latih,7,TV/monitor layar datar,layar,0,0.8915
391,latih,15,PCB dan tumpukan campuran,komponen,1,0.7798
392,latih,15,PCB dan tumpukan campuran,komponen,1,0.5533
393,latih,14,Ponsel,ti,1,0.6779
394,latih,10,Keyboard,ti,1,0.5792
395,latih,15,PCB dan tumpukan campuran,komponen,0,0.9005
396,latih,7,TV/monitor layar datar,layar,0,0.6636
397,latih,0,Aki (baterai timbal-asam),baterai,1,0.9956
398,latih,15,PCB dan tumpukan campuran,komponen,1,0.6858
399,latih,9,Laptop,layar,1,0.6648
400,latih,2,Turntable,kecil,0,0.4073
401,latih,10,Keyboard,ti,1,0.5338
402,latih,13,Mouse,ti,1,0.605
403,latih,9,Laptop,layar,1,0.5016
404,latih,9,Laptop,layar,1,0.7663
405,latih,9,Laptop,layar,1,0.6475
406,latih,10,Keyboard,ti,0,0.6993
407,latih,9,Laptop,layar,1,0.4707
408,latih,9,Laptop,layar,1,0.581
409,latih,10,Keyboard,ti,1,0.5135
410,latih,10,Keyboard,ti,1,0.5901
411,latih,10,Keyboard,ti,1,0.5252
412,latih,10,Keyboard,ti,1,0.51
413,latih,10,Keyboard,ti,0,0.8872
414,latih,9,Laptop,layar,1,0.5953
415,latih,10,Keyboard,ti,0,0.9054
416,latih,10,Keyboard,ti,1,0.6062
417,latih,10,Keyboard,ti,0,0.9199
418,latih,10,Keyboard,ti,0,0.8946
419,latih,10,Keyboard,ti,0,0.9341
420,latih,10,Keyboard,ti,1,0.4968
421,latih,10,Keyboard,ti,0,0.8085
422,latih,7,TV/monitor layar datar,layar,0,0.798
423,latih,7,TV/monitor layar datar,layar,0,0.8201
424,latih,7,TV/monitor layar datar,layar,0,0.8378
425,latih,7,TV/monitor layar datar,layar,0,0.8774
426,latih,10,Keyboard,ti,0,0.8422
427,latih,7,TV/monitor layar datar,layar,0,0.8831
428,latih,10,Keyboard,ti,0,0.8773
429,latih,10,Keyboard,ti,0,0.6941
430,latih,10,Keyboard,ti,0,0.8788
431,latih,10,Keyboard,ti,0,0.7993
432,latih,10,Keyboard,ti,1,0.486
433,latih,10,Keyboard,ti,1,0.5385
434,latih,10,Keyboard,ti,0,0.9339
435,latih,10,Keyboard,ti,0,0.6528
436,latih,7,TV/monitor layar datar,layar,0,0.8564
437,latih,10,Keyboard,ti,0,0.8549
438,latih,10,Keyboard,ti,1,0.5499
439,latih,10,Keyboard,ti,0,0.8724
440,latih,10,Keyboard,ti,0,0.8816
441,latih,7,TV/monitor layar datar,layar,0,0.8626
442,latih,10,Keyboard,ti,0,0.8638
443,latih,15,PCB dan tumpukan campuran,komponen,0,0.8552
444,latih,10,Keyboard,ti,1,0.5022
445,latih,10,Keyboard,ti,1,0.5688
446,latih,10,Keyboard,ti,0,0.8722
447,latih,10,Keyboard,ti,0,0.9271
448,latih,10,Keyboard,ti,0,0.8838
449,latih,10,Keyboard,ti,0,0.948
450,latih,10,Keyboard,ti,0,0.8479
451,latih,10,Keyboard,ti,1,0.514
452,latih,15,PCB dan tumpukan campuran,komponen,0,1.1482
453,latih,15,PCB dan tumpukan campuran,komponen,0,0.8336
454,latih,15,PCB dan tumpukan campuran,komponen,0,0.8778
455,latih,15,PCB dan tumpukan campuran,komponen,0,1.0082
456,latih,10,Keyboard,ti,1,0.4357
457,latih,9,Laptop,layar,1,0.7035
458,latih,3,TV/monitor CRT,layar,1,0.8106
459,latih,3,TV/monitor CRT,layar,1,0.6577
460,latih,7,TV/monitor layar datar,layar,0,0.8595
461,latih,8,Mesin cuci front-load,besar,1,0.6688
462,latih,15,PCB dan tumpukan campuran,komponen,0,0.8961
463,latih,14,Ponsel,ti,1,0.6111
464,latih,15,PCB dan tumpukan campuran,komponen,0,0.9753
465,latih,15,PCB dan tumpukan campuran,komponen,0,0.9328
466,latih,9,Laptop,layar,1,0.7592
467,latih,14,Ponsel,ti,1,0.5643
468,latih,15,PCB dan tumpukan campuran,komponen,0,0.8428
469,latih,15,PCB dan tumpukan campuran,komponen,0,1.0124
470,latih,9,Laptop,layar,1,0.7399
471,latih,3,TV/monitor CRT,layar,0,0.7409
472,latih,6,Mesin cuci bukaan atas,besar,1,0.324
473,latih,15,PCB dan tumpukan campuran,komponen,0,0.942
474,latih,3,TV/monitor CRT,layar,0,0.7787
475,latih,9,Laptop,layar,0,0.9178
476,latih,10,Keyboard,ti,1,0.4532
477,latih,15,PCB dan tumpukan campuran,komponen,0,0.8179
478,latih,15,PCB dan tumpukan campuran,komponen,0,0.8485
479,latih,15,PCB dan tumpukan campuran,komponen,1,0.7386
480,latih,15,PCB dan tumpukan campuran,komponen,1,0.6292
481,latih,15,PCB dan tumpukan campuran,komponen,0,0.6853
482,latih,7,TV/monitor layar datar,layar,0,0.8378
483,latih,15,PCB dan tumpukan campuran,komponen,1,0.618
484,latih,15,PCB dan tumpukan campuran,komponen,0,0.9456
485,latih,9,Laptop,layar,0,0.8262
486,latih,9,Laptop,layar,0,0.8427
487,latih,7,TV/monitor layar datar,layar,0,0.7345
488,latih,3,TV/monitor CRT,layar,1,0.6169
489,latih,3,TV/monitor CRT,layar,1,0.5041
490,latih,9,Laptop,layar,1,0.9021
491,latih,3,TV/monitor CRT,layar,0,0.8756
492,latih,15,PCB dan tumpukan campuran,komponen,0,0.5105
493,latih,4,Baterai ponsel/kamera,baterai,0,0.8446
494,latih,15,PCB dan tumpukan campuran,komponen,1,0.7261
495,latih,14,Ponsel,ti,1,0.3858
496,latih,14,Ponsel,ti,1,0.3891
497,latih,14,Ponsel,ti,1,0.4107
498,latih,14,Ponsel,ti,1,0.3347
499,latih,14,Ponsel,ti,1,0.36
500,latih,14,Ponsel,ti,1,0.3304
501,latih,14,Ponsel,ti,1,0.3204
502,latih,14,Ponsel,ti,1,0.8945
503,latih,14,Ponsel,ti,1,0.3404
504,latih,14,Ponsel,ti,1,0.3266
505,latih,14,Ponsel,ti,1,0.2565
506,latih,14,Ponsel,ti,1,0.6554
507,latih,14,Ponsel,ti,1,0.372
508,latih,15,PCB dan tumpukan campuran,komponen,0,0.7628
509,latih,14,Ponsel,ti,1,0.3055
510,latih,14,Ponsel,ti,1,0.2363
511,latih,14,Ponsel,ti,1,0.3023
512,latih,14,Ponsel,ti,1,0.3276
513,latih,9,Laptop,layar,1,0.7894
514,latih,15,PCB dan tumpukan campuran,komponen,0,0.85
515,latih,14,Ponsel,ti,1,0.3272
516,latih,14,Ponsel,ti,1,0.3168
517,latih,14,Ponsel,ti,1,0.3048
518,latih,14,Ponsel,ti,1,0.6053
519,latih,14,Ponsel,ti,1,0.3415
520,latih,14,Ponsel,ti,1,0.3677
521,latih,14,Ponsel,ti,1,0.3466
522,latih,14,Ponsel,ti,1,0.4792
